Industry	Title	Author/Organization	Year	Publication	Link/Location	Summary	Tags (comma separated)
Government	FCSM AI-Ready Data Working Group	Brandon Kopp (FCSM)	2026	FCSM Presentation	https://community-dc.max.gov/download/attachments/2770209239/2026-FCSM%20AI-Ready%20Data%20WG.pdf	This presentation describes the ongoing work of the FCSM AI‑Ready Data Working Group, a cross‑agency effort launched in 2025 to understand which metadata are most useful for improving AI-generated responses related to federal statistics. The group is exploring how AI systems use structured data and metadata when responding to user queries, especially in agent‑augmented model pipelines where metadata serve as context for disambiguation, ranking, and interpretation. Their research involves selecting several topic areas, assembling comprehensive survey‑, question‑, and table‑level metadata, formatting these into standardized prompts, and testing them across multiple AI services. They are evaluating the resulting model outputs for accuracy, relevance, clarity, inclusion of data quality indicators, and adherence to provided metadata. The presentation outlines challenges related to the evolving AI ecosystem—including reliance on pre‑training data, web search variability, and the future role of agent‑based architectures—and highlights the need for consistent metadata structures to support machine understanding. The presentation highlights the future release of a paper outlining the group's work.	presentation
Government	Building AI-Ready Best Practices: The Work of the Commerce Data Governance Board	Ryan Harper (Census Bureau)	2024	FCSM Presentation	https://community-dc.max.gov/download/attachments/2770209239/2024-D1.1_Harper.pdf	The presentation outlines how the U.S. Census Bureau and the Department of Commerce are preparing public data assets to be “AI‑ready” amid rapid advancements in generative AI and large language models. It highlights shifting public expectations, historical changes in the data landscape, and the increasing need for structured, accessible, and well‑described data sources. The presenter demonstrates current challenges such as inaccurate AI‑generated responses that rely on secondary sources, underscoring the importance of improved data publishing tactics. Strategies emphasized include enhanced SEO and metadata practices, structured formats for easier ingestion, API‑based retrieval, and designing data products that meet AI systems where they currently are. The talk also showcases hybrid AI‑powered tools like the Census API Assistant GPT. Finally, the presentation stresses the importance of community engagement, open‑source collaborations, benchmarking, and ongoing ethical innovation.	presentation
Government	Unleashing the Power of Open Data - NOAA's AI Readiness Journey	Tyler Christensen (NOAA)	2024	FCSM Presentation	https://community-dc.max.gov/download/attachments/2770209239/2024-D1.2_Christensen.pdf	This presentation describes NOAA’s efforts to make its extensive environmental data holdings AI‑ready through innovation, standardized data practices, and cloud modernization. It outlines NOAA’s mission, the breadth of its climate and environmental data products, and examples of AI applications such as detecting lightning, identifying whale calls, and monitoring marine debris. The NOAA Center for AI is leading the development of community standards for AI‑ready data and coordinating partnerships and training. NESDIS’ Common Cloud Framework (NCCF) is central to transforming and consolidating NOAA’s 30+ petabytes of data into cloud‑optimized formats that improve access, usability, and support for GenAI and traditional AI workflows. The presentation highlights challenges such as storage costs, diverse user needs, and the need to maximize return on investment, while emphasizing the opportunity presented by NOAA’s unique datasets. Pilot projects involve converting data to formats like Zarr, Cloud‑Optimized GeoTIFF, and STAC metadata to support scalable AI research. Overall, the talk frames AI readiness as both a technical modernization effort and a strategic opportunity for NOAA.	presentation
Government	AI-Ready DataThe Census Track to Machine Understandable Data	Kenneth Haase (Census Bureau)	2024	FCSM Presentation	https://community-dc.max.gov/download/attachments/2770209239/2024-D1.3_Haase.pdf	This presentation outlines a conceptual framework for making Census data truly “machine understandable,” emphasizing that modern AI systems require richer metadata and structured constraints rather than simple machine-readable formats. It reviews foundational definitions of AI and generative AI, noting recent advances that enable composite systems built from components trained on massive datasets. The presenter argues that what has fundamentally changed is the ability to integrate trained AI components into larger systems requiring iteration, experimentation, and genuine understanding. He introduces tiers of machine-understandable data, ranging from basic digital structure to table-level metadata, field-level metadata, and identity constraints needed for complex processing. The talk highlights the importance of data interdependencies, distributional expectations, and supporting non-scalar or compound data types. It also explores new possibilities such as democratized question answering, pedagogical interfaces, hybrid data products, knowledge-driven imputation, and interactive survey instruments. Overall, the presentation encourages reimagining data systems to support richer pipelines from data to insight to action.	presentation
Government	Look Before You Leap: Exploring BEA Data Capture by Generative AI Technologies	Paul Iwugo (BEA)	2024	FCSM Presentation	https://community-dc.max.gov/download/attachments/2770209239/2024-D1.4_Iwugo.pdf	This presentation examines how generative AI tools interpret and present publicly available economic data from the Bureau of Economic Analysis (BEA). It describes BEA’s motivation for launching an AI Readiness project after observing that generative AI systems often return incorrect, incomplete, or inconsistently phrased responses about official statistics. The team tested 40 questions across major BEA directorates and found substantial accuracy problems, including misinterpretation of revised data and failures to return results. Findings showed that tools like ChatGPT and Google Gemini produced mixed outcomes, with many inaccurate or missing answers. The presentation emphasizes that these issues pose risks to public understanding of economic data. BEA plans to strengthen its understanding of how large language models retrieve information and is partnering with America’s DataHub Consortium to develop solutions enabling federal statistical products to be reliably represented by AI systems. The resulting solution will contribute to the National Secure Data Service, supporting broader federal use cases.	presentation
Government	Improving LLM Access to Federal Open Data: A Pilot Study of Model Context Protocol Servers for Federal Data Access 	Bella Mendoza, Mark Aronson, Haley Johnson, Sam Levy, Mohammed Arifur Rahman	2026	National Library of Medicine	https://www.ncbi.nlm.nih.gov/books/NBK623584/pdf/Bookshelf_NBK623584.pdf	This U.S. Digital Corps report evaluates how large language models (LLMs) access and interpret federal open data and finds that baseline retrieval accuracy is near‑zero—0% for USAspending and 2.1% for CDC PLACES—because current web interfaces and documentation are optimized for humans rather than machine understanding.  The authors test the Model Context Protocol (MCP), an open standard for tool‑mediated AI interactions, and show that when MCP servers translate natural‑language queries into structured API calls, LLM performance improves dramatically—from 18% to 95% overall, including 100% accuracy on PLACES and 89.5% on USAspending.  They argue MCPs can “democratize” API access, mitigate reliance on unofficial sources, and enable authoritative, timely answers grounded in federal datasets.  Beyond the pilot, the paper recommends agency‑owned, open‑source MCP servers; a centralized discovery registry (potentially via Data.gov); and robust governance spanning security reviews, accuracy testing, and incident response.  Technical guidance covers server design (tool scoping, schema typing, paging), CI/CD and monitoring, and secure deployment practices to reduce risks like tool poisoning and shadowing.  The report situates this work within recent federal calls for “AI‑ready” data (e.g., FCSM guidance and Commerce best practices) and highlights MCPs’ potential to support internal agentic workflows such as document retrieval and compliance automation.  Overall, it positions MCP as essential infrastructure to make authoritative federal data reliably accessible to AI systems.	federal, mcp, public data
Government	Desirable Characteristics of Data Repositories for Federally Funded Research	Subcommittee on Open Science of the National Science and Technology Council	2022		https://bidenwhitehouse.archives.gov/wp-content/uploads/2022/05/05-2022-Desirable-Characteristics-of-Data-Repositories.pdf	This OSTP/NSTC guidance defines a consensus set of characteristics that data repositories should meet to support management and public access to data arising from U.S. federally funded research, emphasizing FAIR, equitable, secure, and trustworthy sharing.  The framework is organized across three themes—Organizational Infrastructure, Digital Object Management, and Technology—covering free and timely access, clear use guidance, risk management, retention, and long‑term sustainability; assignment of persistent identifiers (e.g., DOIs), community‑appropriate metadata, curation/QA, measured reuse, common (preferably non‑proprietary) formats, and documented provenance; plus authentication, long‑term technical sustainability, and cybersecurity aligned with established standards (e.g., NIST Cybersecurity Framework).  It adds a dedicated set of additional considerations for repositories storing human data, including fidelity to consent, tiered access and credentialing, limited‑use enforcement (e.g., anti‑reidentification), download control and auditing, transparent request review, breach response plans, and accountability mechanisms.  Agencies intend to use these characteristics to assist researchers in selecting repositories, to designate repositories for specific data types, and to evaluate data management plans, while avoiding formal certification mandates.  The document also aims to inform repository developers and future federal investments in open science infrastructure, anticipating updates as practices and technologies evolve.  Overall, it seeks consistent federal expectations that improve storage, discovery, reuse, and replication of research data and enhance stewardship of human‑subjects data.	
Government	Data Cards for Standardized Metadata Across DOE-Aligned Data Initiatives	Department of Energy	2026		https://www.osti.gov/biblio/3377514	This DOE‑aligned technical report proposes a shared “Data Card”—a lightweight, extensible artifact that combines YAML front matter with Markdown narrative—to standardize dataset documentation for discovery, access, interoperability, reuse, governed use, and AI usability across heterogeneous programs.  It merges practices from Data Statements/Datasheets/Model Cards with public‑sector metadata standards, aligning key fields to DCAT 3.0/DCAT‑US, DataCite, and the ISO/IEC 11179 family while preserving domain‑specific extensions via a domain_metadata block.  The approach is paired with a LinkML schema and multi‑mode validation (Pydantic, JSON Schema, SHACL, SQL) to enforce required and conditional fields, controlled vocabularies, and structural consistency.  The card explicitly captures sensitivity and governance metadata (e.g., CUI, UCNI, export control, privacy/PII/PHI), distinguishes card vs. dataset visibility, and anticipates repository integration via American Science Cloud (AmSC) pipelines.  A relationship vocabulary and persistent identifiers link datasets to publications, software, and AI models, enabling provenance‑aware, FAIR, and AI‑ready workflows.  The report also describes authoring UX principles that surface only capability‑relevant fields, plus bi‑directional generation to and from narratives using LLM assistance.  Overall, it argues the Data Card should serve as a cross‑program metadata bridge that improves transparency, interoperability, and governed reuse without displacing repository‑native schemas or local review processes.	
Government	Phase 2 Implementation of the Foundations for Evidence-Based Policymaking Act of 2018: Open Government Data Access and Management Guidance	OMB	2025		https://bidenwhitehouse.archives.gov/wp-content/uploads/2025/01/M-25-05-Phase-2-Implementation-of-the-Foundations-for-Evidence-Based-Policymaking-Act-of-2018-Open-Government-Data-Access-and-Management-Guidance.pdf	This OMB guidance operationalizes the OPEN Government Data Act within the Evidence Act, rescinds M‑13‑13, and sets a systematic open‑data approach to bolster evidence‑building, AI innovation, research, and transparency while safeguarding privacy, confidentiality, and security.  It clarifies key categories (data, data assets, public data assets, open Government data assets), defines “make available,” and assigns implementation to Chief Data Officers (CDOs) and Data Governance Bodies.  Agencies must maintain comprehensive data inventories interoperable with the Federal Data Catalog (Data.gov) using DCAT‑US 3.0 metadata, post them at agency.gov/data.json, and update them within 90 days of asset creation and at least annually.  All agency data assets should be in open formats; public data assets must be machine‑readable, based on open standards, minimally restricted, and under an open license, with conversion and prioritization decisions guided by costs, benefits, and legal constraints.  Dissemination through Data.gov requires a structured risk‑balancing that considers national security, information security, privacy (including the mosaic effect and reidentification), intellectual property, contractual limits, and enables partial releases via disclosure‑limitation techniques.  Agencies must embed an open data plan in their IRM Strategic Plans covering collection in open formats, usage metrics, public engagement, points of contact, improvement processes, training/procurement, and prioritization criteria that explicitly include AI use cases.  The memo sets timelines—e.g., 180 days for updated plans and contact information, and September 30, 2026 for DCAT‑US 3.0 compliance, open formats, and open‑license requirements—while coordinating access pathways for non‑disseminated assets via FOIA and the Standard Application Process (SAP) under CIPSEA.	
Academia	Croissant: A Metadata Format for ML-Ready Datasets	Akhtar et al.	2024		https://arxiv.org/pdf/2403.19546	The paper introduces Croissant, a schema.org‑based, JSON‑LD metadata format that makes machine learning datasets more discoverable, portable, and interoperable across tools, frameworks, and platforms.  It defines four layers—Dataset Metadata, Resources (FileObject and FileSet), Structure (RecordSet with Fields), and Semantics (splits, labels, common ML types)—to provide a unified, machine‑readable view without changing the underlying data layout. The ecosystem includes a Python library, TensorFlow Datasets (TFDS) CroissantBuilder, PyTorch DataPipes integration, a visual Croissant Editor, and support by major repositories (Hugging Face, Kaggle, OpenML) as well as Google Dataset Search.  A user study on ten popular datasets found high readability and understandability, good completeness, and moderate agreement (e.g., BLEU scores higher for Croissant core than Croissant‑RAI), with some annotator confusion between schema.org creator and publisher.  The paper also reports early adoption and “health” metrics for repository integrations and demonstrates semantic search over Croissant descriptions.  Limitations and future work include broader evaluation, enhanced tooling (e.g., the editor), and upcoming extensions such as Geo‑Croissant for complex geospatial formats.	schema, metadata,
Government	AI-Readiness of Data and Metadata for Official Statistics	Oliver Dupiez (World Bank)	2025		https://unece.org/sites/default/files/2025-05/GenAI2025_S1_WorldBank_Dupriez_P.pdf	This presentation covers how official statistics organizations can prepare data and metadata to be effectively used by generative AI systems, emphasizing that AI currently struggles to correctly extract, interpret, and attribute official statistics. It argues that official statisticians must improve both metadata (rich, structured, machine‑readable, API‑accessible) and data (checked, annotated, interpretable, machine‑readable) to make them AI‑ready. The presentation describes how AI can assist in anomaly detection, data annotation, metadata generation, metadata evaluation, and semantic search. It highlights the need for standards‑based metadata, enhanced discoverability through semantic search platforms, and better collaboration with data redistributors. Ultimately, it presents a division of labor where statisticians ensure data quality and metadata readiness while AI systems improve validation, documentation, and dissemination.	international, unece, presentation
Government	Challenges and opportunities in effectively reaching users of official data and statistics in the AI era	Dr. Eng Chuan Kh (Singapore Dept. of Statistics)	2026		https://unstats.un.org/UNSDWebsite/statcom/session_57/side-events/un57sc-Friday-seminar-27Feb2026/UNSC2026_FridaySeminar_Keynote1_Dr_Koh.pdf	This presentation describes how the rise of AI systems as new, indirect users of official statistics creates challenges for national statistical offices (NSOs), including reduced visibility, misinterpretation, hallucination, inconsistent sourcing, and the widespread circulation of timely but inaccurate data. It uses case studies of youth unemployment estimates from multiple AI platforms to illustrate how different definitions, hidden sources, and varied prioritization lead to conflicting outputs. The presentation argues that NSOs must act as active agents of trusted data by designing outputs for both humans and machines, improving attribution, engaging more effectively with technology platforms and media, and investing in user education. It also emphasizes opportunities for productivity gains through better human–machine‑aligned dissemination and more agile communication strategies.	international, unstats, presentation
Academia	From Open Data to Responsible Reuse: Hallmarks of Data Stewardship in the Age of AI	Dr. Julia Stoyanovich (NYU Center for Responsible AI)	2026		https://unstats.un.org/UNSDWebsite/statcom/session_57/side-events/un57sc-Friday-seminar-27Feb2026/UNSC2026_FridaySeminar_Keynote2_Dr_Stoyanovich.pdf	The presentation argues that open data must evolve into responsible reuse in the AI era, identifying five hallmarks of stewardship: data readiness, organizational readiness, technical readiness, stakeholder input, and validation and feedback.  It uses images and real‑world examples—including SingStat’s Chat with SANDRA, India’s eSankhyilki, and cautionary cases like NYC’s MyCity chatbot and tests of LLMs on government queries—to show how AI systems can misinform when provenance, definitions, revisions, and uncertainty are not preserved.  It illustrates loss of context with scenarios on Maldives GDP over time, SDG comparisons between Maldives and Burundi, and Serbia’s population, where territorial scope and methodological differences are flattened.  The author recommends developing AI‑ready metadata as machine‑readable, portable, dynamic “nutritional labels” that capture data, process, and result features, and that can be incrementally computable.  She calls for accountable data governance that mandates attribution, machine‑readable provenance, revision propagation, AI‑facing interfaces, and clear reuse conditions.  The presentation urges statistical offices to build organizational capacity and AI literacy, monitor AI‑mediated reuse, and collaborate across sectors.  It also emphasizes educating the public to interpret AI‑mediated statistics, understand uncertainty, and provide feedback.  Overall, the images and examples are integral, visually demonstrating both the risks of AI‑mediated dissemination and the features of stewardship that can make official data AI‑ready.	international, unstats, presentation
Government	AI-Ready Official Statistics: Opportunities, Challenges, and Recommendations	World Bank	2026		https://unstats.un.org/UNSDWebsite/statcom/session_57/documents/BG-5h-CCSA_AI_Readiness_Official_Statistics_v2-E.pdf	This paper examines how generative AI is transforming the dissemination and use of official statistics and introduces a framework for making statistical products “AI‑ready.”  Core components include comprehensive, machine‑readable metadata (with web‑optimized mappings), rigorous quality assurance and anomaly detection with value‑level annotations, interoperable API‑based delivery with open licensing, and improved discoverability strengthened by explicit signals of authoritativeness.  It identifies five interlinked challenges—proliferation of non‑official sources, AI‑mediated search and chatbots that reduce visibility and provenance, technical limitations of generative AI, weak partnerships with redistributors, and gaps in infrastructure, skills, and legal/ethical safeguards.  The document assigns roles and detailed recommendations to four stakeholder groups—national statistical organizations (NSOs), international/regional bodies, redistributors, and AI developers—to preserve integrity and trust in an AI‑enabled ecosystem.  For NSOs, priorities include adopting SDMX/DDI/ISO metadata standards and mapping to DCAT/schema.org/Croissant, automating anomaly detection and observation‑level annotations, modernizing dissemination with versioned APIs, semantic search, guarded chatbots, and machine‑readable release calendars, and investing in skills and secure platforms.  International bodies are urged to harmonize standards, publish templates and open tools for metadata and quality control, incubate semantic search and MCP‑enabled interfaces, build capacity in low‑ and middle‑income contexts, and broker partnerships and licensing guidance.  Redistributors should default to canonical sources, synchronize via APIs, retain attribution and metadata, use retrieval‑anchored generation with validation checks, and establish feedback loops, while AI developers should align with standards like SDMX, respect licenses and privacy, adopt responsible acquisition practices, and support low‑resource deployments; an annex highlights the Model Context Protocol as a promising pathway for safe, direct LLM integration with authoritative data.	international, unstats, 
Government	Fostering AI-Readiness and Responsible Redistribution of Official Statistics	World Bank	2026		https://unstats.un.org/UNSDWebsite/statcom/session_56/documents/Room_Document-WorldBank-E.pdf	This document argues that official statistics must become “AI‑ready” to remain accurate, discoverable, and trusted as AI‑enabled search engines and chatbots increasingly mediate access to data.  It diagnoses three core challenges—multiplicity of data sources, limited AI capability to interact with structured official data, and limited control over third‑party redistribution—illustrated by inconsistent AI answers to youth unemployment queries for Indonesia and Thailand.  The paper proposes Action 1 to modernize curation and dissemination via common metadata and exchange standards (e.g., SDMX), machine‑readable APIs, open licensing (CC BY 4.0), semantic search, a central catalog of accredited sources, and better LLM integration with structured databases (e.g., IMF StatGPT), alongside AI tools for anomaly detection and observation‑level annotations.  Action 2 calls for coordinated capacity building for data producers in low‑ and middle‑income countries to adopt these standards and practices.  Action 3 recommends guidance and collaboration with redistributors—covering proper attribution, provenance, transparency about transformations, feedback loops, and metadata mapping to schema.org and Croissant—so open data remains responsibly reused.  Grounded in the Fundamental Principles of Official Statistics, the document places responsibility on both producers and redistributors to uphold integrity, signal authoritativeness, and share usage insights to improve relevance and trust.	international, unstats, 
Government	Towards AI-Ready National Statistical Offices- A Framework for Strengthening NSO Capacity in Low- and Middle-Income Countries	Paris21	2025		https://www.paris21.org/sites/default/files/media/document/2025-12/ai-readiness-nso-framework.pdf		
Government	A Practical Guide for NSOs The AI Readiness Self-Assessment	Paris21	2026		https://www.paris21.org/sites/default/files/media/document/2026-04/ttai-self-assessment-methodology-report.pdf		
Government	Guidelines and best practices for making government datasets ready for AI	UK Government	2026		https://assets.publishing.service.gov.uk/media/696e43965a37ab534a9e23ac/Building_AI-Ready_Datasets_for_the_UK.pdf	This paper provides UK‑specific guidance for preparing government datasets to be “AI‑ready,” emphasizing that responsible AI adoption depends primarily on data quality, structure, governance, and legal clarity.  It presents a framework built around four pillars—technical optimization, data and metadata quality, organizational and infrastructure context, and legal, security, and ethical compliance—and details essential capabilities within each.  The document highlights common barriers such as inconsistent metadata, legacy systems, fragmented standards, unclear legal bases, and organizational accountability gaps.  Through interviews with major public bodies like DWP, NHS, i.AI, and The National Archives, it identifies practical challenges and showcases examples of good practice, including lakehouse architectures, federated learning, synthetic data use, and preservation‑grade metadata.  The paper underscores the need to treat datasets as strategic products and to maintain continuous oversight through robust governance, documentation, and monitoring.  It concludes that AI readiness cannot be assessed with a universal checklist but must be evaluated per dataset, use case, and organizational context, supported by a self‑assessment model.	international, checklist, 
Government	A framework for AI-ready data	The Open Data Institute (ODI)	2025		https://theodi.hacdn.io/media/documents/A_framework_for_AI-ready_data.pdf	This paper presents the Open Data Institute’s practical framework for making datasets AI‑ready, emphasizing that high‑quality, well‑documented, standards‑aligned data is essential for reliable and responsible AI systems.  The ODI identifies four components of AI‑readiness—technical optimization, data quality and standards, legal compliance, and responsible collection—and argues that existing frameworks such as FAIR, FAIR‑R, and sector‑specific AI‑readiness models lack sufficient operational detail for data publishers.  The report provides detailed criteria for dataset properties, metadata requirements, and surrounding infrastructure, including use of international standards, consistent labeling, machine‑readable metadata, comprehensive lifecycle documentation, and accessible APIs.  It incorporates insights from expert interviews to highlight practical issues such as metadata gaps, inconsistent formats, unclear supply‑chain provenance, and the need for stronger governance, which was added in the updated 2025 version of the framework.  The paper demonstrates the framework through structured assessments of two example datasets, illustrating how the criteria help diagnose strengths and deficiencies in AI‑readiness.  Ultimately, the report positions AI‑ready data practices as holistic, iterative, and collaborative, requiring ongoing dialogue between data publishers and AI practitioners.  It concludes that adopting these practices not only supports AI development but also improves overall data stewardship and utility across the broader data ecosystem.	nonprofit, international
Government	AI-ready data action plan	UK Government	2026		https://www.gov.uk/government/publications/making-government-datasets-ready-for-ai/guidelines-and-best-practices-for-making-government-datasets-ready-for-ai#ai-ready-data-action-plan	This UK guidance defines what AI‑ready data means for government and sets a practical framework to prepare public‑sector datasets for responsible AI use, emphasizing quality, documentation, governance, and usability.  It organizes best practices into four pillars; technical optimisation, data & metadata quality, organization & infrastructure context, and legal, security & ethical compliance and ties them to actionable steps and success criteria that build on FAIR principles.  An embedded AI‑Ready Data Action Plan maps departmental insights and key challenges across pillars, covering modern machine‑readable formats, APIs, scalable infrastructure, provenance‑rich metadata, stewardship roles, and proportionate security controls.  The guidance highlights common barriers (siloed data, uneven documentation, unclear ownership) and calls for structured metadata, transparent data lineage, and human‑in‑the‑loop oversight to strengthen trust and accountability.  It positions the framework within a broader AI agenda (including playbooks and ethics guidance) to ensure datasets are accurate, complete, consistent, secure, and enriched with context for both humans and machines.  Overall, it aims to unlock AI value in public services by standardizing how government prepares, governs, and shares datasets for AI, while updating the guidance as practices and technologies evolve.	
